"number","leg","dartScore","bed","aimedat","sB4Dart","sAfDart","average"
1,1,20,"i20","t20",501,481,60
2,1,19,"o19","t19",481,462,58.5
3,1,4,"o4","t18",462,458,43
4,1,60,"t20","t20",458,398,77.25
5,1,20,"i20","t20",398,378,73.8
6,1,20,"i20","t20",378,358,71.5
7,1,60,"t20","t20",358,298,87
8,1,60,"t20","t20",298,238,98.63
9,1,60,"t20","t20",238,178,107.67
10,1,20,"o20","t20",178,158,102.9
11,1,20,"i20","t20",158,138,99
12,1,18,"o18","t18",138,120,95.25
13,2,60,"t20","t20",501,441,101.77
14,2,60,"t20","t20",441,381,107.36
15,2,19,"i19","t19",381,362,104
16,2,60,"t20","t20",362,302,108.75
17,2,60,"t20","t20",302,242,112.94
18,2,60,"t20","t20",242,182,116.67
19,2,20,"i20","t20",182,162,113.68
20,2,19,"o19","t19",162,143,110.85
21,2,17,"i17","t17",143,126,108
22,2,19,"i19","t19",126,107,105.68
23,2,19,"o19","t19",107,88,103.57
24,2,48,"16","NA",88,40,105.25
25,2,40,"d20","d20",40,0,105.84
26,3,20,"i20","t20",501,481,104.08
27,3,19,"o19","t19",481,462,102.33
28,3,1,"i1","t20",462,461,98.79
29,3,20,"i20","t20",461,441,97.45
30,3,57,"t19","t19",441,384,99.9
31,3,57,"t19","t19",384,327,102.19
32,3,20,"i20","t20",327,307,100.88
33,3,57,"t19","t19",307,250,103
34,3,57,"t19","t19",250,193,105
35,3,57,"t19","t19",193,136,106.89
36,3,57,"t19","t19",136,79,108.67
37,3,19,"19","NA",79,60,107.27
38,4,60,"t20","t20",501,441,109.18
39,4,60,"t20","t20",441,381,111
40,4,3,"t1","t20",381,378,108.45
41,4,60,"t20","t20",378,318,110.2
42,4,20,"i20","t20",318,298,109
43,4,60,"t20","t20",298,238,110.65
44,4,60,"t20","t20",238,178,112.23
45,4,20,"o20","t20",178,158,111.07
46,4,60,"t20","t20",158,98,112.57
47,4,60,"t20","t20",98,38,114
48,4,38,"d19","d19",38,0,114
49,5,20,"i20","t20",501,481,112.9
50,5,57,"t19","t19",481,424,114.06
51,5,57,"t19","t19",424,367,115.18
52,5,20,"i20","t20",367,347,114.12
53,5,19,"i19","t19",347,328,113.04
54,5,54,"t18","t18",328,274,113.94
55,5,19,"i19","t19",274,255,112.91
56,5,60,"t20","t20",255,195,114.11
57,5,25,"obull","ibull",195,170,113.42
58,5,20,"i20","t20",170,150,112.5
59,5,57,"t19","t19",150,93,113.49
60,5,57,"t19","t19",93,36,114.45
61,6,20,"o20","t20",501,481,113.56
62,6,60,"t20","t20",481,421,114.63
63,6,60,"t20","t20",421,361,115.67
64,6,20,"o20","t20",361,341,114.8
65,6,20,"o20","t20",341,321,113.95
66,6,60,"t20","t20",321,261,114.95
67,6,60,"t20","t20",261,201,115.93
68,6,60,"t20","t20",201,141,116.87
69,6,25,"obull","ibull",141,116,116.26
70,6,60,"t20","t20",116,56,117.17
71,6,20,"o20","o20",56,36,116.37
72,6,0,"m18","d18",36,36,114.75
73,6,18,"o18","d18",36,18,113.92
74,6,18,"d9","d9",18,0,113.11
75,7,20,"o20","t20",501,481,112.4
76,7,20,"o20","t20",481,461,111.71
77,7,20,"o20","t20",461,441,111.04
78,7,60,"t20","t20",441,381,111.92
79,7,60,"t20","t20",381,321,112.78
80,7,60,"t20","t20",321,261,113.63
81,7,20,"i20","t20",261,241,112.96
82,7,17,"i17","t17",241,224,112.21
83,7,18,"o18","t18",224,206,111.51
84,7,60,"t20","t20",206,146,112.32
85,7,3,"t1","t20",146,143,111.11
86,7,20,"i20","t20",143,123,110.51
87,8,20,"i20","t20",501,481,109.93
88,8,19,"i19","t19",481,462,109.33
89,8,20,"o20","t20",462,442,108.78
90,8,20,"i20","t20",442,422,108.23
91,8,19,"o19","t19",422,403,107.67
92,8,60,"t20","t20",403,343,108.46
93,8,60,"t20","t20",343,283,109.23
94,8,0,"bounceout","t20",283,283,108.06
95,8,60,"t20","t20",283,223,108.82
96,8,20,"o20","t20",223,203,108.31
97,8,20,"o20","t20",203,183,107.81
98,8,19,"i19","t19",183,164,107.3
99,8,19,"i19","t19",164,145,106.79
100,8,25,"obull","ibull",145,120,106.47
101,8,20,"i20","t20",120,100,106.01
102,9,60,"t20","t20",501,441,106.74
103,9,60,"t20","t20",441,381,107.45
104,9,20,"o20","t20",381,361,106.99
105,9,60,"t20","t20",361,301,107.69
106,9,60,"t20","t20",301,241,108.37
107,9,20,"o20","t20",241,221,107.92
108,9,5,"i5","t20",221,216,107.06
109,9,57,"t19","t19",216,159,107.64
110,9,57,"t19","t19",159,102,108.22
111,9,20,"i20","t20",102,82,107.78
112,9,25,"obull","ibull",82,57,107.49
113,9,17,"o17","o17",57,40,106.99
114,9,20,"o20","d20",40,20,106.58
115,9,10,"o10","d10",20,10,105.91
116,9,10,"d5","d5",10,0,105.26
117,10,20,"i20","t20",501,481,104.87
118,10,57,"t19","t19",481,424,105.43
119,10,19,"o19","t19",424,405,105.03
120,10,60,"t20","t20",405,345,105.65
121,10,20,"i20","t20",345,325,105.27
122,10,19,"o19","t19",325,306,104.88
123,10,19,"i19","t19",306,287,104.49
124,10,20,"i20","t20",287,267,104.13
125,10,57,"t19","t19",267,210,104.66
126,10,60,"t20","t20",210,150,105.26
127,10,20,"o20","t20",150,130,104.91
128,10,60,"t20","t20",130,70,105.49
129,10,18,"18","NA",70,52,105.09
130,10,20,"o20","o20",52,32,104.75
131,10,0,"m16","d16",32,32,103.95
132,10,32,"d16","d16",32,0,103.89
133,11,20,"o20","t20",501,481,103.56
134,11,60,"t20","t20",481,421,104.13
135,11,0,"bounceout","t20",421,421,103.36
136,11,60,"t20","t20",421,361,103.92
137,11,57,"t19","t19",361,304,104.41
138,11,57,"t19","t19",304,247,104.89
139,11,20,"i20","t20",247,227,104.57
140,11,57,"t19","t19",227,170,105.04
141,11,57,"t19","t19",170,113,105.51
142,11,20,"i20","t20",113,93,105.19
143,11,7,"i7","t19",93,86,104.6
144,11,54,"t18","t18",86,32,105
145,12,60,"t20","t20",501,441,105.52
146,12,60,"t20","t20",441,381,106.03
147,12,20,"o20","t20",381,361,105.71
148,12,20,"o20","t20",361,341,105.41
149,12,60,"t20","t20",341,281,105.91
150,12,20,"i20","t20",281,261,105.6
151,12,20,"o20","t20",261,241,105.3
152,12,20,"o20","t20",241,221,105
153,12,51,"t17","t17",221,170,105.31
154,12,60,"t20","t20",170,110,105.8
155,12,60,"t20","t20",110,50,106.28
156,12,25,"obull","ibull",50,25,106.08
157,12,9,"o9","o9",25,16,105.57
158,12,0,"m8","d8",16,16,104.91
159,12,8,"o8","d8",16,8,104.4
